"11";"aceh";NULL;NULL;NULL
"12";"sumatera utara";NULL;NULL;NULL
"13";"sumatera barat";NULL;NULL;NULL
"14";"riau";NULL;NULL;NULL
"15";"jambi";NULL;NULL;NULL
"16";"sumatera selatan";NULL;NULL;NULL
"17";"bengkulu";NULL;NULL;NULL
"18";"lampung";NULL;NULL;NULL
"19";"kepulauan bangka belitung";NULL;NULL;NULL
"21";"kepulauan riau";NULL;NULL;NULL
"31";"dki jakarta";NULL;NULL;NULL
"32";"jawa barat";NULL;NULL;NULL
"33";"jawa tengah";NULL;NULL;NULL
"34";"di yogyakarta";NULL;NULL;NULL
"35";"jawa timur";NULL;NULL;NULL
"36";"banten";NULL;NULL;NULL
"51";"bali";NULL;NULL;NULL
"52";"nusa tenggara barat";NULL;NULL;NULL
"53";"nusa tenggara timur";NULL;NULL;NULL
"61";"kalimantan barat";NULL;NULL;NULL
"62";"kalimantan tengah";NULL;NULL;NULL
"63";"kalimantan selatan";NULL;NULL;NULL
"64";"kalimantan timur";NULL;NULL;NULL
"65";"kalimantan utara";NULL;NULL;NULL
"71";"sulawesi utara";NULL;NULL;NULL
"72";"sulawesi tengah";NULL;NULL;NULL
"73";"sulawesi selatan";NULL;NULL;NULL
"74";"sulawesi tenggara";NULL;NULL;NULL
"75";"gorontalo";NULL;NULL;NULL
"76";"sulawesi barat";NULL;NULL;NULL
"81";"maluku";NULL;NULL;NULL
"82";"maluku utara";NULL;NULL;NULL
"91";"papua barat";NULL;NULL;NULL
"94";"papua";NULL;NULL;NULL
